Index,Origin (UTC),Lat,Long,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,Country,Deaths
0,5/11/1900 17:23,38.7,141.1,5,7,,,,,,,Japan,
1,7/12/1900 6:25,40.3,43.1,,5.9,,,,140,,,Turkey,140
2,10/29/1900 9:11,11,-66,0,7.7,,,,,,,Venezuela,
3,2/15/1901 0:00,26,100.1,0,6.5,,,,,,,China,
4,3/31/1901 7:11,43.4,28.7,,6.4,,,,4,,,Bulgaria,4
5,8/9/1901 9:23,40.5,142.5,35,7.2,T,,,,,,Japan,
6,11/15/1901 20:15,-43,173,0,6.8,,,,1,,,New Zealand,1
7,1/30/1902 14:01,40.5,141.3,35,6.9,,,,1,,,Japan,1
8,2/13/1902 9:39,40.7,48.6,15,6.9,,,,86,,,Azerbaijan,86
9,3/9/1902 7:46,40.7,33.6,,5.5,,,,4,,,Turkey,4
10,4/19/1902 2:23,14,-91,0,7.5,,,,2000,2000,,Guatemala ,2000
11,7/3/1902 15:36,43.2,129.6,20,6.7,,,,,,,China,
12,8/22/1902 3:00,40,77,0,7.7,,,,5650,,,China,5650
13,9/19/1902 0:00,-35,138,2,6,,,,2,,,Australia,2
14,12/16/1902 5:07,40.8,72.3,9,6.4,,,,4725,,,Uzbekistan ,4725
15,3/29/1903 22:30,32.2,35.3,,5.7,,,,20,,,Palestine,20
16,4/28/1903 0:00,39.14,42.65,,7,,,,,,3500,Turkey ,
17,5/28/1903 3:58,40.9,42.7,,5.8,,,,1000,,,Turkey,1000
18,8/11/1903 4:32,36.36,22.97,80,8.3,,,,2,,,Greece,2
19,9/25/1903 1:20,35.2,58.2,,6.5,,,,200,,,Iran,200
20,4/24/1904 6:39,23.5,120.5,,6,,,,3,,,Taiwan,3
21,8/11/1904 5:56,37.75,27,10,6.2,,,,4,,,Greece,4
22,8/30/1904 11:42,30,101,0,6.8,,,,565,,,China,565
23,11/5/1904 20:25,23.5,120.3,,6.3,,,,145,,,Taiwan ,145
24,4/4/1905 0:50,33,76,0,7.8,,,,20000,20000,,India ,20000
25,6/1/1905 4:42,42.1,19.6,20,6.6,,,,120,,,Albania,120
26,6/2/1905 5:39,34.1,132.5,55,7,,,,11,,,Japan,11
27,9/8/1905 1:43,39,16,0,6.8,T,,,557,2500,,Italy ,2500
28,11/8/1905 22:06,40,24,0,6.8,,,,,,,Greece,
29,1/31/1906 15:36,1,-81.5,0,8.8,T,,,1000,400,,Ecuador ,1000
30,3/16/1906 22:42,23.6,120.4,5,6.8,,,,1258,,,Taiwan ,1258
31,4/13/1906 19:18,23.6,120.4,5,7.1,,,,15,,,Taiwan,15
32,4/18/1906 13:12,38,-123,0,7.8,F,,,700,2000,,United States,2000
33,8/17/1906 0:40,-33,-72,0,8.2,T,,,3760,20000,,Chile ,20000
34,12/22/1906 18:21,43.5,85,0,7.2,,,,285,,,China,285
35,1/4/1907 5:19,2,94.5,50,7.5,T,,,400,,,Indonesia,400
36,1/14/1907 21:36,18.2,-76.7,,6.5,T,,,1000,,,Jamaica ,1000
37,4/15/1907 6:08,17,-100,0,7.9,T,,,28,,,Mexico,28
38,4/18/1907 20:59,14,123,0,7.1,,,,2,,,Philippines,2
39,10/21/1907 4:23,38,69,0,7.2,,,,15000,12000,,Tajikistan ,15000
40,1/11/1908 3:35,23,121.1,5,6.8,,,,2,,,Taiwan,2
41,12/28/1908 4:20,38,15.5,0,7.2,T,,,82000,75000,,Italy ,82000
42,1/19/1909 4:56,38.6,26.9,,5.8,,,,8,,,Turkey,8
43,1/23/1909 0:00,,,,7.3,,,,,,8000,Iran ,
44,2/9/1909 11:24,40,38,60,6.8,,,,,,,Turkey,
45,4/14/1909 19:53,25,122.5,5,7.1,,,,9,,,Taiwan,9
46,4/23/1909 17:39,38.9,-8.8,,6.6,,,,30,,,Portugal,30
47,5/11/1909 15:54,24.4,103,,6.5,,,,19,,,China,19
48,6/3/1909 18:40,-2,101,0,7.2,T,,,200,,,Indonesia,200
49,6/11/1909 0:00,43.7,5.4,,6.2,,,,,,46,France ,
50,8/14/1909 6:31,35.4,136.3,5,6.7,,,,41,,,Japan,41
51,10/20/1909 23:41,30,68,0,7,,,,231,,,Pakistan,231
52,11/10/1909 6:13,32.3,131.1,150,7.5,,,,2,,,Japan,2
53,1/8/1910 14:49,35,122,0,6.8,,,,1,,,China,1
54,2/18/1910 5:09,36,24.5,150,6.9,,,,6,,,Greece,6
55,4/12/1910 0:22,25,123,200,7.6,,,,20,,,Japan,20
56,6/24/1910 13:27,36.1,3.4,33,6.4,,,,81,,,Algeria,81
57,1/3/1911 23:25,43.5,77.5,0,7.8,,,,450,,,Kazakhstan ,450
58,2/18/1911 18:41,40,73,0,7.2,L,,,90,,,Kyrgyzstan,90
59,4/18/1911 18:14,32,56,50,6.7,,,,700,,,Iran,700
